Timestamp,RSSI_Value_dBm
16:09:04.1330,-77
16:09:04.1440,-74
16:09:04.1890,-76
16:09:04.2330,-77
16:09:04.2760,-83
16:09:04.5060,-83
16:09:04.6390,-72
16:09:04.6840,-80
16:09:04.7310,-79
16:09:04.7730,-73
16:09:04.8120,-74
16:09:04.8600,-82
16:09:04.9950,-74
16:09:05.0420,-82
16:09:05.1720,-82
16:09:05.2610,-83
16:09:05.2620,-82
16:09:05.3120,-82
16:09:05.4420,-81
16:09:05.5350,-81
16:09:05.6240,-73
16:09:05.6740,-80
16:09:05.7230,-81
16:09:05.8960,-79
16:09:05.9350,-83
16:09:05.9830,-73
16:09:06.0770,-79
16:09:06.1140,-74
16:09:06.1550,-82
16:09:06.2000,-86
16:09:06.3010,-83
16:09:06.3470,-74
16:09:06.3950,-82
16:09:06.4400,-83
16:09:06.6220,-75
16:09:06.6610,-87
16:09:06.7110,-78
16:09:06.7540,-74
16:09:06.8040,-81
16:09:06.9750,-74
16:09:06.9750,-75
16:09:07.0160,-81
16:09:07.0560,-83
16:09:07.1020,-74
16:09:07.1020,-75
16:09:07.1470,-80
16:09:07.1860,-88
16:09:07.2340,-75
16:09:07.4160,-86
16:09:07.4620,-72
16:09:07.4630,-73
16:09:07.5540,-79
16:09:07.6930,-72
16:09:07.7420,-80
16:09:07.7900,-82
16:09:07.8320,-73
16:09:07.8730,-80
16:09:07.9150,-80
16:09:08.1010,-72
16:09:08.1420,-80
16:09:08.1860,-78
16:09:08.2280,-72
16:09:08.2770,-82
16:09:08.3610,-74
16:09:08.4550,-73
16:09:08.5010,-85
16:09:08.5400,-81
16:09:08.5830,-74
16:09:08.6290,-81
16:09:08.6740,-82
16:09:08.7240,-74
16:09:08.8170,-73
16:09:08.8610,-88
16:09:08.9090,-94
16:09:08.9520,-75
16:09:09.0020,-84
16:09:09.1320,-83
16:09:09.1820,-74
16:09:09.2230,-82
16:09:09.2230,-81
16:09:09.2650,-81
16:09:09.3070,-84
16:09:09.3520,-73
16:09:09.3970,-81
16:09:09.4820,-75
16:09:09.5750,-92
16:09:09.6190,-75
16:09:09.6190,-81
16:09:09.7970,-95
16:09:09.8430,-73
16:09:09.8840,-80
16:09:10.0250,-92
16:09:10.0820,-74
16:09:10.1160,-81
16:09:10.2030,-75
16:09:10.3370,-75
16:09:10.3790,-92
16:09:10.4240,-74
16:09:10.5100,-90
16:09:10.6020,-75
16:09:10.6980,-75
16:09:10.7420,-81
16:09:10.8310,-75
16:09:10.8720,-81
16:09:10.9150,-92
16:09:10.9580,-75
16:09:10.9990,-80
16:09:11.1770,-74
16:09:11.1780,-76
16:09:11.2230,-81
16:09:11.3030,-75
16:09:11.3520,-82
16:09:11.4420,-75
16:09:11.6750,-74
16:09:11.7170,-79
16:09:11.8550,-80
16:09:11.8960,-76
16:09:11.9420,-74
16:09:11.9910,-80
16:09:12.0330,-89
16:09:12.0950,-74
16:09:12.1730,-74
16:09:12.2140,-80
16:09:12.3040,-75
16:09:12.3940,-93
16:09:12.4370,-75
16:09:12.4810,-81
16:09:12.5250,-91
16:09:12.6130,-75
16:09:12.6550,-74
16:09:12.7040,-80
16:09:12.7480,-92
16:09:12.8440,-80
16:09:12.9770,-76
16:09:13.0250,-75
16:09:13.1170,-80
16:09:13.2460,-80
16:09:13.2850,-89
16:09:13.3760,-90
16:09:13.4240,-74
16:09:13.4670,-80
16:09:13.5120,-87
16:09:13.5520,-74
16:09:13.6000,-82
16:09:13.6420,-81
16:09:13.7390,-77
16:09:13.7770,-80
16:09:13.8280,-89
16:09:13.8700,-74
16:09:13.9120,-96
16:09:13.9550,-96
16:09:14.0360,-83
16:09:14.0830,-90
16:09:14.1730,-80
16:09:14.2530,-70
16:09:14.3050,-85
16:09:14.3470,-67
16:09:14.3890,-67
16:09:14.4310,-72
16:09:14.4740,-82
16:09:14.5810,-68
16:09:14.6130,-68
16:09:14.6570,-75
16:09:14.7020,-81
16:09:14.7480,-69
16:09:14.8380,-80
16:09:15.0990,-71
16:09:15.1420,-77
16:09:15.1910,-78
16:09:15.2320,-70
16:09:15.2730,-76
16:09:15.3600,-68
16:09:15.5770,-68
16:09:15.6670,-78
16:09:15.7130,-84
16:09:15.7590,-69
16:09:15.8450,-83
16:09:15.9740,-80
16:09:16.0150,-81
16:09:16.0550,-73
16:09:16.1010,-84
16:09:16.1010,-76
16:09:16.1440,-72
16:09:16.1910,-81
