Timestamp,RSSI_Value_dBm
15:29:16.0860,-87
15:29:16.1290,-86
15:29:16.1760,-94
15:29:16.2160,-88
15:29:16.2620,-85
15:29:16.4770,-85
15:29:16.5270,-86
15:29:16.6110,-87
15:29:16.6540,-85
15:29:16.6970,-85
15:29:16.7400,-89
15:29:16.8240,-87
15:29:16.8290,-85
15:29:16.8700,-89
15:29:16.9180,-89
15:29:16.9600,-84
15:29:17.0110,-85
15:29:17.0520,-90
15:29:17.1010,-89
15:29:17.1460,-88
15:29:17.2340,-89
15:29:17.2740,-88
15:29:17.3150,-86
15:29:17.3590,-88
15:29:17.4030,-88
15:29:17.4510,-89
15:29:17.5000,-87
15:29:17.5400,-88
15:29:17.6340,-89
15:29:17.6760,-88
15:29:17.7850,-91
15:29:17.8520,-87
15:29:17.8520,-86
15:29:17.8990,-92
15:29:17.9930,-91
15:29:18.0830,-87
15:29:18.1290,-88
15:29:18.1740,-86
15:29:18.2750,-87
15:29:18.3630,-90
15:29:18.4070,-91
15:29:18.5000,-87
15:29:18.5430,-92
15:29:18.6320,-92
15:29:18.6740,-86
15:29:18.7220,-87
15:29:18.7760,-89
15:29:18.7760,-90
15:29:18.8190,-86
15:29:18.9600,-89
15:29:19.0010,-88
15:29:19.0460,-87
15:29:19.0900,-88
15:29:19.1810,-86
15:29:19.3510,-84
15:29:19.4470,-90
15:29:19.4890,-83
15:29:19.6740,-94
15:29:19.7200,-82
15:29:19.8090,-97
15:29:19.9020,-80
15:29:19.9950,-82
15:29:20.0450,-91
15:29:20.2360,-91
15:29:20.3250,-88
15:29:20.3670,-85
15:29:20.4130,-83
15:29:20.4510,-94
15:29:20.5010,-88
15:29:20.5520,-85
15:29:20.5950,-84
15:29:20.6390,-80
15:29:20.6850,-84
15:29:20.7770,-79
15:29:20.8730,-78
15:29:20.9670,-78
15:29:21.0090,-77
15:29:21.0560,-77
15:29:21.1980,-83
15:29:21.2810,-78
15:29:21.3280,-78
15:29:21.3690,-78
15:29:21.4170,-77
15:29:21.5140,-77
15:29:21.5550,-83
15:29:21.5960,-78
15:29:21.6420,-77
15:29:21.6900,-77
15:29:21.7390,-77
15:29:21.7810,-77
15:29:21.9150,-82
15:29:21.9560,-76
15:29:22.0050,-76
15:29:22.0470,-76
15:29:22.0880,-76
15:29:22.0890,-84
15:29:22.1270,-77
15:29:22.1730,-76
15:29:22.2220,-76
15:29:22.4000,-76
15:29:22.4520,-81
15:29:22.5000,-77
15:29:22.5930,-77
15:29:22.6360,-76
15:29:22.6790,-82
15:29:22.7250,-79
15:29:22.7810,-76
15:29:22.7810,-78
15:29:22.8100,-83
15:29:22.8100,-85
15:29:22.8540,-80
15:29:22.8540,-82
15:29:22.9420,-84
15:29:23.0730,-82
15:29:23.1200,-79
15:29:23.1690,-84
15:29:23.2580,-79
15:29:23.3020,-84
15:29:23.4370,-82
15:29:23.6170,-81
15:29:23.7130,-84
15:29:23.7600,-79
15:29:23.8350,-85
15:29:23.8780,-78
15:29:23.9290,-89
15:29:23.9740,-85
15:29:24.0170,-80
15:29:24.1940,-88
15:29:24.2420,-80
15:29:24.2830,-88
15:29:24.3290,-86
15:29:24.3700,-83
15:29:24.4180,-87
15:29:24.4630,-89
15:29:24.5560,-90
15:29:24.6020,-86
15:29:24.6430,-84
15:29:24.6830,-87
15:29:24.7270,-83
15:29:24.7780,-86
15:29:24.7790,-85
15:29:24.8120,-89
15:29:24.9570,-84
15:29:25.0510,-90
15:29:25.0960,-85
15:29:25.1390,-88
15:29:25.1800,-88
15:29:25.2770,-89
15:29:25.3250,-88
15:29:25.3710,-89
15:29:25.4230,-90
15:29:25.4650,-86
15:29:25.6040,-85
15:29:25.6490,-85
15:29:25.6490,-88
15:29:25.7400,-84
15:29:25.8770,-88
15:29:25.9240,-86
15:29:25.9730,-87
15:29:26.0190,-87
15:29:26.0650,-87
15:29:26.1960,-86
15:29:26.2430,-85
15:29:26.2850,-87
15:29:26.3330,-86
15:29:26.3330,-87
15:29:26.3800,-84
15:29:26.5660,-85
15:29:26.6130,-84
15:29:26.6600,-86
15:29:26.7620,-86
15:29:26.7980,-86
15:29:26.8420,-84
15:29:26.8910,-87
15:29:27.1570,-85
15:29:27.2070,-84
15:29:27.2080,-85
15:29:27.2550,-88
15:29:27.2940,-86
15:29:27.2950,-87
15:29:27.3400,-84
15:29:27.4760,-84
15:29:27.6050,-88
15:29:27.6050,-85
15:29:27.6050,-85
15:29:27.7570,-87
15:29:27.8380,-86
15:29:27.9350,-88
15:29:27.9770,-85
15:29:28.0650,-86
15:29:28.1130,-84
15:29:28.1580,-90
15:29:28.2000,-84
15:29:28.2490,-84
15:29:28.2990,-91
